id;course_name;status;start_date;end_date;capacity;trainer_id
1;gee unto proofread;true;2025-10-27;2025-10-27;28503;1
2;gallery trained intelligent;false;2025-10-27;2025-10-27;25654;2
3;lightly across;true;2025-10-27;2025-10-27;31436;2
4;finer potentially inwardly;false;2025-10-27;2025-10-27;7060;2
5;bank;true;2025-10-27;2025-10-27;11724;1
6;flimsy;true;2025-10-27;2025-10-26;16788;1
7;failing curiously below;true;2025-10-27;2025-10-27;27563;2
8;pfft radiant since;false;2025-10-27;2025-10-27;6258;1
9;er gulp as;false;2025-10-27;2025-10-27;32075;2
10;ouch;false;2025-10-27;2025-10-27;20873;1
