id;service_name;service_description;price;status;category_id
1;generally;inside;14876.83;true;1
2;good mummify jaggedly;medium phew;29511.17;false;2
3;wonderfully;the before instead;12243.74;false;3
4;basket;capsize oh extroverted;20030.06;true;4
5;flame flu;trustworthy portly than;6999.28;false;5
6;ah scarcely whether;furthermore;30327.83;true;6
7;bleakly warmly;strict unique;13702.53;true;7
8;attraction;dreamily rudely about;29101.21;true;8
9;but frankly millet;sinful actually camouflage;11880.03;false;9
10;casket or;gracefully gut dapper;4120.61;true;10
