id;status;description;reservation_date;course_id;gym_service_id;user_data_id
1;false;against gadzooks beyond;2025-10-27;1;1;1
2;true;lovely woot;2025-10-27;2;2;2
3;true;than modulo parallel;2025-10-27;3;3;1
4;false;shoulder so;2025-10-27;4;4;2
5;false;breed;2025-10-27;5;5;2
6;false;within gosh pfft;2025-10-27;6;6;2
7;true;angrily serialize hydrolyse;2025-10-27;7;7;1
8;false;frankly notwithstanding yawningly;2025-10-27;8;8;1
9;true;while;2025-10-27;9;9;2
10;true;singe until phooey;2025-10-27;10;10;1
