id;day_of_week;start_time;end_time;course_id
1;per;2025-10-27T04:38:57;2025-10-27T02:24:36;1
2;gosh at;2025-10-27T05:04:34;2025-10-27T14:04:55;2
3;unlike yum underneat;2025-10-26T23:29:16;2025-10-27T03:41:34;3
4;disapprove;2025-10-27T01:51:17;2025-10-27T16:19:18;4
5;where;2025-10-27T11:18:22;2025-10-27T15:55:32;5
6;compromise;2025-10-27T11:58:43;2025-10-27T12:31:49;6
7;tabulate;2025-10-27T18:00:52;2025-10-27T17:57:48;7
8;impact assist switch;2025-10-27T06:38:01;2025-10-27T17:52:55;8
9;minister;2025-10-26T22:27:48;2025-10-27T06:45:09;9
10;cruelly likewise wet;2025-10-26T21:34:47;2025-10-27T11:49:56;10
